,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,muros,42.78,-9.06,70.0,78,99,3.0,ES,1597097389
293,marsh harbour,26.54,-77.06,84.22,70,23,5.64,BS,1597097464
294,kauswagan,8.19,124.08,73.99,85,39,5.99,PH,1597097464
295,butembo,0.15,29.28,57.63,96,68,2.01,CD,1597097464
296,sfantu gheorghe,45.87,25.78,64.0,78,28,1.03,RO,1597097215
297,calabozo,8.92,-67.43,81.01,90,98,2.15,VE,1597097465
298,nang rong,14.64,102.79,75.43,90,52,6.62,TH,1597097465
299,elliot lake,46.38,-82.63,78.8,78,1,12.75,CA,1597097466
300,jamkhed,18.74,75.31,72.5,91,100,13.89,IN,1597097466
301,guerrero negro,27.98,-114.06,84.13,42,0,13.4,MX,1597097424
302,biloela,-24.42,150.5,53.4,70,0,5.61,AU,1597097467
303,brewer,44.8,-68.76,82.0,78,75,12.75,US,1597097455
304,hay river,60.82,-115.8,59.0,93,90,6.93,CA,1597097467
305,bambanglipuro,-7.95,110.28,74.91,88,99,6.33,ID,1597097468
306,abnub,27.27,31.15,89.6,46,100,6.93,EG,1597097468
307,palu,-0.89,119.87,75.87,75,40,3.24,ID,1597097468
308,koumac,-20.57,164.28,72.79,76,87,4.72,NC,1597097469
309,risod,19.97,76.78,72.99,92,96,11.05,IN,1597097469
310,jutai,-5.18,-68.9,85.19,58,74,1.34,BR,1597097469
311,xining,36.62,101.77,53.31,65,58,3.11,CN,1597097470
312,casambalangan,18.38,122.13,81.14,84,100,6.44,PH,1597097470
313,sharan,54.82,54.0,51.42,84,56,11.43,RU,1597097470
314,antalaha,-14.9,50.28,66.65,79,42,5.7,MG,1597097471
315,uren,57.46,45.79,50.02,88,0,3.02,RU,1597097471
316,leningradskiy,69.38,178.42,55.67,57,100,10.25,RU,1597097471
317,pevek,69.7,170.31,38.21,98,100,12.35,RU,1597097471
318,strezhevoy,60.73,77.59,64.4,77,0,6.71,RU,1597097472
319,moree,-29.47,149.85,37.4,100,0,4.7,AU,1597097472
320,port hedland,-20.32,118.57,60.8,93,75,6.93,AU,1597097472
321,robertsport,6.75,-11.37,76.77,84,100,12.46,LR,1597097387
322,groningen,53.25,6.75,73.99,73,66,5.82,NL,1597097399
323,kalmunai,7.42,81.82,79.7,79,83,6.2,LK,1597097473
324,margate,51.38,1.39,71.01,83,55,4.38,GB,1597097473
325,turayf,31.67,38.66,75.2,60,34,11.41,SA,1597097473
326,tiznit,29.58,-9.5,71.51,73,0,2.21,MA,1597097474
327,barabai,-2.58,115.38,73.87,95,73,1.7,ID,1597097474
328,mamallapuram,12.63,80.17,84.2,79,75,8.05,IN,1597097474
329,nouadhibou,20.93,-17.03,71.6,88,58,19.46,MR,1597097274
330,pangnirtung,66.15,-65.71,46.4,75,90,6.93,CA,1597097475
331,barquisimeto,10.07,-69.32,80.6,74,40,5.82,VE,1597097283
332,rudnya,54.95,31.09,60.04,93,23,6.31,RU,1597097255
333,ekhabi,53.51,142.97,57.2,93,100,15.05,RU,1597097475
334,ca mau,9.18,105.15,78.6,88,100,3.09,VN,1597097476
335,coquimbo,-29.95,-71.34,60.8,67,100,9.17,CL,1597097476
336,ayagoz,47.97,80.44,65.93,53,1,7.94,KZ,1597097476
337,te anau,-45.42,167.72,42.78,82,42,4.47,NZ,1597097477
338,praia,14.92,-23.51,78.8,74,75,12.75,CV,1597097477
339,zhangjiakou,40.81,114.88,66.16,53,0,3.02,CN,1597097477
340,waitati,-45.75,170.57,48.99,65,40,4.0,NZ,1597097477
341,mangalia,43.8,28.58,69.8,68,0,1.12,RO,1597097478
342,novopokrovka,49.84,36.55,66.2,72,74,4.47,UA,1597097478
343,conde,-7.26,-34.91,75.2,88,20,10.29,BR,1597097479
344,yate,51.54,-2.42,73.0,80,19,3.29,GB,1597097479
345,sarkand,45.41,79.92,70.52,29,15,11.01,KZ,1597097479
346,olafsvik,64.89,-23.71,51.87,95,100,15.82,IS,1597097480
347,lata,40.16,-8.33,64.99,89,94,3.0,PT,1597097480
348,kiama,-34.68,150.87,51.01,92,17,5.57,AU,1597097480
349,cururupu,-1.83,-44.87,76.42,86,82,3.6,BR,1597097481
350,kota bahru,6.13,102.24,78.8,94,40,3.36,MY,1597097481
351,ust-tsilma,65.44,52.15,43.74,97,22,4.99,RU,1597097235
352,katsuura,35.13,140.3,86.0,77,72,8.99,JP,1597097346
353,sao francisco,-15.95,-44.86,73.18,38,0,4.59,BR,1597097482
354,nizhniy kuranakh,58.84,125.49,56.84,87,4,1.77,RU,1597097482
355,samandag,36.08,35.98,80.6,65,40,12.75,TR,1597097482
356,haines junction,60.75,-137.51,53.33,70,100,7.18,CA,1597097483
357,isilkul,54.91,71.27,61.68,85,68,3.24,RU,1597097483
358,khatanga,71.97,102.5,44.1,73,0,5.21,RU,1597097483
359,buala,-8.14,159.59,81.73,78,95,15.57,SB,1597097483
360,ishigaki,24.34,124.16,84.2,94,75,18.34,JP,1597097484
361,keti bandar,24.14,67.45,84.85,83,98,11.63,PK,1597097219
362,praya,14.92,-23.51,78.8,74,75,12.75,CV,1597097477
363,kahului,20.89,-156.47,91.4,46,40,20.8,US,1597097484
364,atar,20.52,-13.05,101.82,19,99,2.62,MR,1597097423
365,mae sot,16.72,98.57,73.94,89,99,1.99,TH,1597097485
366,maniitsoq,65.42,-52.9,41.54,77,100,11.14,GL,1597097485
367,seredka,58.16,28.19,55.4,71,0,6.71,RU,1597097486
368,ambon,-3.7,128.18,75.2,100,75,2.24,ID,1597097487
369,cortland,42.6,-76.08,82.0,65,1,3.6,US,1597097487
370,sidney,-33.87,151.21,52.0,81,85,8.99,AU,1597097350
371,nuuk,64.18,-51.72,44.6,75,75,4.7,GL,1597097487
372,mount isa,-20.73,139.5,41.0,75,0,7.9,AU,1597097401
373,guarapari,-20.67,-40.5,73.4,78,75,5.82,BR,1597097488
374,san vicente,-26.62,-54.13,66.29,51,0,3.18,AR,1597097488
375,korla,41.76,86.15,70.52,53,1,6.53,CN,1597097211
376,panara,22.07,78.55,72.77,95,100,10.76,IN,1597097488
377,gizo,-8.1,156.84,82.42,74,100,3.38,SB,1597097489
378,magadan,59.57,150.8,57.79,71,96,2.86,RU,1597097489
379,stornoway,58.21,-6.39,55.99,93,90,5.82,GB,1597097490
380,casablanca,33.59,-7.62,73.0,88,75,6.93,MA,1597097291
381,lima,-12.04,-77.03,62.6,67,90,12.75,PE,1597097374
382,barcelos,41.54,-8.62,66.99,100,40,5.82,PT,1597097490
383,lumphat,13.49,106.98,73.06,97,100,2.04,KH,1597097490
384,uran,18.88,72.94,82.4,88,90,11.41,IN,1597097491
385,zastron,-30.3,27.08,37.02,71,0,3.38,ZA,1597097491
386,mandalgovi,45.76,106.27,59.86,57,46,7.0,MN,1597097491
387,bukene,-4.23,32.88,63.81,42,4,2.93,TZ,1597097492
388,bontang,0.13,117.5,78.71,86,67,2.51,ID,1597097492
389,hasaki,35.73,140.83,84.99,79,40,9.17,JP,1597097492
390,kinablangan,7.69,126.55,77.79,79,31,3.38,PH,1597097493
391,paita,-5.09,-81.11,65.43,75,2,14.65,PE,1597097493
392,nhamunda,-2.19,-56.71,86.02,45,89,1.72,BR,1597097493
393,lompoc,34.64,-120.46,70.0,64,1,13.87,US,1597097383
394,buenos aires,-34.61,-58.38,59.0,28,0,8.05,AR,1597097494
395,taoudenni,22.68,-3.98,98.28,10,0,10.33,ML,1597097495
396,bauta,22.98,-82.55,89.6,66,40,12.75,CU,1597097495
397,lorengau,-2.02,147.27,81.19,77,60,4.74,PG,1597097495
398,vardo,70.37,31.11,48.2,87,75,11.41,NO,1597097495
399,saint anthony,45.02,-93.22,80.01,39,1,10.29,US,1597097495
400,kendal,54.33,-2.75,68.0,82,92,4.0,GB,1597097496
401,north myrtle beach,33.82,-78.68,86.0,79,20,12.75,US,1597097341
402,tarko-sale,64.92,77.78,57.99,91,1,10.51,RU,1597097496
403,san cristobal,7.77,-72.22,87.8,45,40,140.48,VE,1597097433
404,kholm,59.27,32.85,56.17,79,51,6.13,RU,1597097497
405,puerto colombia,10.99,-74.95,75.2,100,40,4.7,CO,1597097384
406,pisco,-13.7,-76.22,64.4,72,20,9.17,PE,1597097288
407,ewa beach,21.32,-158.01,86.0,58,75,6.93,US,1597097497
408,coihaique,-45.58,-72.07,41.0,52,75,9.17,CL,1597097393
409,tessalit,20.2,1.01,96.87,21,39,15.35,ML,1597097498
410,natal,-5.79,-35.21,77.0,73,6,13.87,BR,1597097374
411,beawar,26.1,74.32,79.27,83,100,14.52,IN,1597097498
412,balaipungut,1.05,101.28,75.99,94,85,2.26,ID,1597097283
413,oakdale,44.96,-92.96,81.0,34,1,3.36,US,1597097499
414,talnakh,69.49,88.4,51.8,100,90,4.47,RU,1597097499
415,hole narsipur,12.78,76.24,67.17,93,100,6.82,IN,1597097499
416,valdivia,-39.81,-73.25,50.0,61,75,10.29,CL,1597097281
417,walvis bay,-22.96,14.51,55.0,87,0,4.7,NA,1597097500
418,raudeberg,61.99,5.14,59.0,87,26,2.24,NO,1597097500
419,kaeo,-35.1,173.78,62.01,3,100,14.0,NZ,1597097353
420,middletown,39.52,-84.4,87.01,58,40,10.29,US,1597097219
421,launceston,-41.45,147.17,41.0,86,90,1.19,AU,1597097501
422,haikou,20.05,110.34,82.4,88,100,4.47,CN,1597097502
423,gambela,8.25,34.58,72.12,77,89,2.55,ET,1597097213
424,mackay,-21.15,149.2,46.4,93,0,3.36,AU,1597097502
425,oriximina,-1.77,-55.87,87.4,43,48,4.23,BR,1597097502
426,bubaque,11.28,-15.83,78.57,88,100,18.5,GW,1597097400
427,vila do maio,15.13,-23.22,78.8,74,75,12.75,CV,1597097503
428,alyangula,-13.85,136.42,48.2,93,100,10.11,AU,1597097503
429,lasa,46.62,10.7,60.8,93,75,4.7,IT,1597097503
430,oussouye,12.48,-16.55,80.6,94,75,9.17,SN,1597097503
431,tondano,1.3,124.91,75.2,94,40,2.46,ID,1597097504
432,kaitong,44.81,123.15,70.93,56,48,5.97,CN,1597097504
433,maues,-3.38,-57.72,86.04,45,37,2.15,BR,1597097504
434,dingle,11.0,122.67,77.58,85,98,2.71,PH,1597097504
435,ancud,-41.87,-73.82,46.0,70,75,8.05,CL,1597097505
436,adrar,20.5,-10.07,98.33,22,77,11.14,MR,1597097225
437,auki,-8.77,160.7,82.98,74,82,5.32,SB,1597097505
438,yekaterinovka,52.05,44.35,52.84,82,1,3.2,RU,1597097506
439,gilbues,-9.83,-45.34,77.76,36,11,4.21,BR,1597097506
440,panguna,-6.32,155.48,76.44,78,40,0.67,PG,1597097506
441,mahebourg,-20.41,57.7,64.4,77,40,8.93,MU,1597097506
442,garwolin,51.9,21.61,68.0,40,24,5.14,PL,1597097507
443,khvorostyanka,52.61,48.96,53.56,76,0,7.85,RU,1597097507
444,chegdomyn,51.12,133.02,64.38,92,1,1.66,RU,1597097507
445,batagay-alyta,67.8,130.41,42.75,66,81,2.84,RU,1597097508
446,sayyan,15.17,44.32,65.55,60,98,3.85,YE,1597097508
447,shumikha,55.23,63.3,62.29,93,99,11.79,RU,1597097508
448,bagdarin,54.43,113.6,54.32,85,94,3.31,RU,1597097509
449,padang,-0.95,100.35,76.91,74,37,4.99,ID,1597097509
450,dunedin,-45.87,170.5,48.99,65,36,4.0,NZ,1597097399
451,comodoro rivadavia,-45.87,-67.5,48.2,26,20,18.34,AR,1597097400
452,dubbo,-32.25,148.62,39.2,93,0,10.29,AU,1597097510
453,sinnamary,5.38,-52.95,80.17,81,98,11.03,GF,1597097399
454,freeport,40.66,-73.58,86.0,66,1,14.99,US,1597097328
455,inhambane,-23.86,35.38,65.89,74,0,10.78,MZ,1597097510
456,karaman,37.08,33.25,64.02,56,35,8.19,TR,1597097510
457,batticaloa,7.71,81.69,79.14,77,77,8.34,LK,1597097511
458,shihezi,44.3,86.03,74.97,33,69,4.81,CN,1597097511
459,exeter,50.72,-3.53,68.0,88,40,5.82,GB,1597097511
460,sabzevar,36.21,57.68,77.47,26,0,8.41,IR,1597097512
461,kudahuvadhoo,2.67,72.89,82.04,77,100,10.4,MV,1597097512
462,beloha,-25.17,45.05,60.69,92,0,4.65,MG,1597097421
463,nizhniy tsasuchey,50.52,115.13,58.8,92,100,8.97,RU,1597097512
464,aswan,24.09,32.91,92.23,33,9,8.1,EG,1597097512
465,grand-lahou,5.14,-5.02,74.03,87,99,11.79,CI,1597097513
466,brindisi,40.58,17.67,79.0,83,0,3.36,IT,1597097513
467,yazman,29.12,71.74,97.27,44,88,10.36,PK,1597097513
468,formosa,-26.18,-58.18,89.6,33,0,5.82,AR,1597097513
469,huangmei,30.19,116.03,76.05,93,6,3.62,CN,1597097514
470,bandarbeyla,9.49,50.81,75.63,73,87,33.22,SO,1597097227
471,jalu,29.03,21.55,79.97,57,0,10.69,LY,1597097514
472,labuhan,-6.88,112.21,76.32,86,93,7.87,ID,1597097515
473,broken hill,-31.95,141.43,50.0,81,96,9.17,AU,1597097515
474,buchanan,5.88,-10.05,77.0,88,75,9.17,LR,1597097515
475,chenzhou,25.8,113.03,78.04,81,100,4.76,CN,1597097515
476,broome,42.25,-75.83,82.0,83,75,6.93,US,1597097516
477,kloulklubed,7.04,134.26,75.2,94,75,3.36,PW,1597097516
478,baoning,25.34,110.03,77.0,100,40,4.47,CN,1597097516
479,pomabamba,-8.83,-77.47,61.14,34,49,4.5,PE,1597097517
480,brae,60.4,-1.35,57.2,93,100,8.05,GB,1597097218
481,bardiyah,31.76,25.09,75.29,85,0,11.88,LY,1597097517
482,suileng,47.25,127.08,67.32,96,7,8.84,CN,1597097518
483,pitimbu,-7.47,-34.81,75.2,88,20,10.29,BR,1597097518
484,mangai,-4.05,19.53,81.25,52,50,2.1,CD,1597097518
485,prince rupert,54.32,-130.32,57.2,71,90,2.24,CA,1597097518
486,faanui,-16.48,-151.75,77.99,64,16,4.76,PF,1597097519
487,mason city,43.15,-93.2,73.99,53,1,6.93,US,1597097220
488,sao joao da barra,-21.64,-41.05,73.4,78,1,16.11,BR,1597097519
489,atasu,48.68,71.64,62.65,50,73,3.87,KZ,1597097519
490,namibe,-15.2,12.15,61.34,88,48,2.51,AO,1597097519
491,andros town,24.7,-77.77,86.0,70,75,10.29,BS,1597097520
492,cairns,-16.92,145.77,66.2,72,90,4.7,AU,1597097520
493,joshimath,30.57,79.57,68.76,63,100,1.43,IN,1597097520
494,sainte-rose,16.33,-61.7,86.0,62,40,11.41,GP,1597097520
495,fredericksburg,38.3,-77.46,86.0,94,1,4.27,US,1597097479
496,senneterre,48.38,-77.23,84.2,54,40,8.05,CA,1597097252
497,hofn,64.25,-15.21,53.15,95,97,6.93,IS,1597097521
498,hermosillo,29.07,-110.97,104.0,35,75,9.17,MX,1597097341
499,pergamino,-33.89,-60.57,57.99,31,3,4.0,AR,1597097521
500,kavaratti,10.57,72.64,81.75,79,100,21.21,IN,1597097522
501,los llanos de aridane,28.66,-17.92,75.2,69,2,16.11,ES,1597097428
502,voznesenye,61.01,35.48,55.49,86,100,12.66,RU,1597097522
503,karpathos,35.51,27.21,78.8,69,0,25.28,GR,1597097522
504,ilo,-17.64,-71.34,57.97,79,54,2.71,PE,1597097523
505,leh,34.17,77.58,62.11,40,6,5.95,IN,1597097523
506,chambersburg,39.94,-77.66,91.0,49,0,1.01,US,1597097410
507,mende,44.67,3.5,58.96,94,59,3.06,FR,1597097524
508,eureka,40.8,-124.16,64.0,45,0,1.01,US,1597097378
509,bereda,43.27,-7.54,64.99,93,100,8.01,ES,1597097406
510,hearst,49.68,-83.67,68.94,74,95,10.78,CA,1597097525
511,cherskiy,68.75,161.3,43.61,74,59,11.41,RU,1597097525
512,huarmey,-10.07,-78.15,64.65,71,4,8.19,PE,1597097525
513,papar,5.73,115.93,77.0,83,20,5.82,MY,1597097525
514,hambantota,6.12,81.12,77.0,100,40,8.05,LK,1597097408
515,puerto penasco,31.32,-113.53,90.0,80,0,18.99,MX,1597097526
516,malartic,48.13,-78.13,84.2,54,40,8.05,CA,1597097526
517,kathu,7.92,98.33,84.99,88,20,2.24,TH,1597097526
518,miandrivazo,-19.52,45.47,69.71,76,1,2.19,MG,1597097527
519,fasa,28.94,53.65,84.2,28,74,2.35,IR,1597097527
520,sechura,-5.56,-80.82,70.66,59,7,18.16,PE,1597097527
521,port hardy,50.7,-127.42,66.2,55,75,12.75,CA,1597097527
522,huanuni,-18.27,-66.85,50.02,31,42,10.27,BO,1597097527
523,acarau,-2.89,-40.12,78.21,77,1,15.14,BR,1597097528
524,malm,64.07,11.22,59.0,87,100,4.7,NO,1597097528
525,barcelona,41.39,2.16,81.0,61,20,3.36,ES,1597097328
526,watsa,3.04,29.54,63.88,99,57,0.69,CD,1597097529
527,upata,8.01,-62.4,86.0,76,62,4.0,VE,1597097529
528,abu dhabi,24.47,54.37,95.0,71,13,6.93,AE,1597097522
529,volosovo,59.43,29.48,60.8,59,75,11.18,RU,1597097530
530,valdemarpils,57.37,22.59,60.8,82,3,5.82,LV,1597097530
531,kota belud,6.35,116.43,77.0,83,20,5.82,MY,1597097530
532,sola,-13.88,167.55,78.8,78,75,4.7,VU,1597097531
533,amarkantak,22.67,81.75,69.76,100,100,2.66,IN,1597097531
534,puerto carreno,6.19,-67.49,82.4,69,40,10.29,CO,1597097303
535,port augusta,-32.5,137.77,55.4,62,90,20.8,AU,1597097531
536,tiffin,41.11,-83.18,89.01,58,32,11.68,US,1597097532
537,narasannapeta,18.42,84.05,80.22,82,71,7.09,IN,1597097532
538,laguna,38.42,-121.42,98.01,33,0,4.0,US,1597097428
539,north bend,43.41,-124.22,82.99,72,1,25.28,US,1597097532
540,nizwa,22.93,57.53,87.57,53,21,2.42,OM,1597097533
541,hokitika,-42.72,170.97,49.86,81,11,3.4,NZ,1597097533
542,qianan,44.99,124.06,72.14,74,25,9.1,CN,1597097533
543,ilula,-7.68,36.04,59.0,72,5,5.82,TZ,1597097533
544,hamilton,39.18,-84.53,88.0,65,75,9.17,US,1597097533
545,saint-paul,-21.01,55.27,66.0,59,90,6.93,RE,1597097381
546,powell,40.16,-83.08,91.0,48,40,13.87,US,1597097534
547,touros,-5.2,-35.46,75.2,78,2,9.17,BR,1597097400
548,qunduz,36.73,68.86,77.14,28,0,2.77,AF,1597097534
549,alice springs,-23.7,133.88,62.6,25,40,19.46,AU,1597097398
550,zhangye,38.93,100.45,73.65,23,61,5.7,CN,1597097535
551,yeppoon,-23.13,150.73,50.0,81,0,4.7,AU,1597097535
552,port lincoln,-34.73,135.87,53.56,79,97,19.75,AU,1597097378
553,shenjiamen,29.96,122.3,80.31,92,1,16.31,CN,1597097536
554,yining,29.04,114.56,74.52,88,32,1.12,CN,1597097410
555,sydney,-33.87,151.21,52.0,81,85,8.99,AU,1597097357
556,sioux lookout,50.1,-91.92,75.2,36,20,20.8,CA,1597097407
557,svetlogorsk,52.63,29.73,62.35,87,19,2.51,BY,1597097537
558,rawson,-43.3,-65.1,45.21,51,29,22.91,AR,1597097389
559,batsfjord,70.63,29.72,50.0,93,75,19.46,NO,1597097537
560,tateyama,34.98,139.87,84.99,77,2,8.99,JP,1597097537
561,seoul,37.57,126.98,73.4,100,90,1.5,KR,1597097531
562,porteirinha,-15.74,-43.03,69.04,55,0,8.52,BR,1597097538
563,avera,33.19,-82.53,87.8,70,75,9.17,US,1597097538
564,havelock,34.88,-76.9,84.99,83,40,5.82,US,1597097538
565,ariquemes,-9.91,-63.04,87.66,34,0,1.66,BR,1597097538
566,solnechnyy,50.72,136.63,65.46,90,79,2.62,RU,1597097539
567,sembakung,3.82,117.25,73.74,98,80,2.28,ID,1597097539
568,orlik,52.52,99.83,44.46,78,52,0.38,RU,1597097539
569,labuan,5.28,115.24,80.6,94,20,6.24,MY,1597097348
570,masuguru,-11.37,38.42,70.09,77,0,5.75,TZ,1597097540
571,kapit,2.02,112.93,73.56,89,78,0.76,MY,1597097540
572,lexington-fayette,38.05,-84.46,81.0,88,1,6.93,US,1597097540
573,saint-francois,46.42,3.91,71.6,68,97,2.24,FR,1597097540
574,caledon,-34.23,19.43,46.0,94,0,3.15,ZA,1597097541
575,goderich,43.75,-81.72,87.01,64,34,16.2,CA,1597097261
576,flinders,-34.58,150.86,53.01,91,20,5.26,AU,1597097541
577,san policarpo,12.18,125.51,81.18,82,53,6.98,PH,1597097541
578,rantepao,-2.97,119.9,65.7,89,20,1.68,ID,1597097542
579,qaqortoq,60.72,-46.03,55.4,32,8,6.93,GL,1597097542
580,taltal,-25.4,-70.48,59.18,71,23,3.22,CL,1597097542
581,fairbanks,64.84,-147.72,59.0,58,1,10.29,US,1597097494
582,autazes,-3.58,-59.13,86.9,45,3,3.74,BR,1597097542
583,bossangoa,6.49,17.46,70.93,94,100,1.23,CF,1597097543
